"id_keyb","key_name","position","event","input","timestamp","epoch"
"17461","Backspace","Backspace","keydown","1","2024-01-29 16:14:16:000418","1706555656418"
"17462","Backspace","Backspace","keyup","1","2024-01-29 16:14:16:000465","1706555656465"
"17463","Backspace","Backspace","keydown","1","2024-01-29 16:14:16:000573","1706555656573"
"17464","Backspace","Backspace","keyup","1","2024-01-29 16:14:16:000609","1706555656609"
"17465","6","Numpad6","keydown","1","2024-01-29 16:14:17:000147","1706555657147"
"17466","6","Numpad6","keyup","1","2024-01-29 16:14:17:000315","1706555657315"
"17467","7","Numpad7","keydown","1","2024-01-29 16:14:17:000378","1706555657378"
"17468","7","Numpad7","keyup","1","2024-01-29 16:14:17:000482","1706555657482"
"17469","3","Numpad3","keydown","1","2024-01-29 16:14:17:000698","1706555657698"
"17470","3","Numpad3","keyup","1","2024-01-29 16:14:17:000834","1706555657834"
"17471","7","Numpad7","keydown","1","2024-01-29 16:14:18:000042","1706555658042"
"17472","7","Numpad7","keyup","1","2024-01-29 16:14:18:000145","1706555658145"
"17473","3","Numpad3","keydown","1","2024-01-29 16:14:19:000426","1706555659426"
"17474","3","Numpad3","keyup","1","2024-01-29 16:14:19:000569","1706555659569"
"17475","7","Numpad7","keydown","1","2024-01-29 16:14:19:000746","1706555659746"
"17476","7","Numpad7","keyup","1","2024-01-29 16:14:19:000842","1706555659842"
"17477","4","Numpad4","keydown","1","2024-01-29 16:14:20:000010","1706555660010"
"17478","4","Numpad4","keyup","1","2024-01-29 16:14:20:000154","1706555660154"
"17479","9","Numpad9","keydown","1","2024-01-29 16:14:20:000282","1706555660282"
"17480","9","Numpad9","keyup","1","2024-01-29 16:14:20:000426","1706555660426"
"17481","9","Numpad9","keydown","1","2024-01-29 16:14:20:000753","1706555660753"
"17482","9","Numpad9","keyup","1","2024-01-29 16:14:20:000897","1706555660897"
"17483","3","Numpad3","keydown","1","2024-01-29 16:14:21:000114","1706555661114"
"17484","3","Numpad3","keyup","1","2024-01-29 16:14:21:000252","1706555661252"
"17485","2","Numpad2","keydown","1","2024-01-29 16:14:21:000362","1706555661362"
"17486","2","Numpad2","keyup","1","2024-01-29 16:14:21:000473","1706555661473"
"17487","5","Numpad5","keydown","1","2024-01-29 16:14:21:000674","1706555661674"
"17488","5","Numpad5","keyup","1","2024-01-29 16:14:21:000802","1706555661802"
"17489","6","Numpad6","keydown","1","2024-01-29 16:14:22:000621","1706555662622"
"17490","6","Numpad6","keyup","1","2024-01-29 16:14:22:000738","1706555662738"
"17491","8","Numpad8","keydown","1","2024-01-29 16:14:22:000922","1706555662923"
"17492","8","Numpad8","keyup","1","2024-01-29 16:14:23:000026","1706555663027"
"17493","8","Numpad8","keydown","1","2024-01-29 16:14:23:000146","1706555663146"
"17494","8","Numpad8","keyup","1","2024-01-29 16:14:23:000266","1706555663266"
"17495","6","Numpad6","keydown","1","2024-01-29 16:14:23:000377","1706555663377"
"17496","6","Numpad6","keyup","1","2024-01-29 16:14:23:000497","1706555663497"
"17497","0","Numpad0","keydown","2","2024-01-29 16:14:25:000897","1706555665897"
"17498","4","Numpad4","keydown","2","2024-01-29 16:14:26:000074","1706555666074"
"17499","0","Numpad0","keyup","2","2024-01-29 16:14:26:000095","1706555666095"
"17500","4","Numpad4","keyup","2","2024-01-29 16:14:26:000169","1706555666169"
"17501","2","Numpad2","keydown","3","2024-01-29 16:14:28:000282","1706555668282"
"17502","0","Numpad0","keydown","3","2024-01-29 16:14:28:000386","1706555668386"
"17503","2","Numpad2","keyup","3","2024-01-29 16:14:28:000433","1706555668433"
"17504","0","Numpad0","keyup","3","2024-01-29 16:14:28:000545","1706555668546"
"17505","3","Numpad3","keydown","3","2024-01-29 16:14:29:000147","1706555669147"
"17506","2","Numpad2","keydown","3","2024-01-29 16:14:29:000250","1706555669250"
"17507","3","Numpad3","keyup","3","2024-01-29 16:14:29:000314","1706555669314"
"17508","2","Numpad2","keyup","3","2024-01-29 16:14:29:000339","1706555669339"
"17509","5","Numpad5","keydown","4","2024-01-29 16:14:31:000450","1706555671450"
"17510","5","Numpad5","keyup","4","2024-01-29 16:14:31:000587","1706555671587"
"17511","6","Numpad6","keydown","4","2024-01-29 16:14:31:000587","1706555671587"
"17512","5","Numpad5","keydown","4","2024-01-29 16:14:31:000698","1706555671698"
"17513","6","Numpad6","keyup","4","2024-01-29 16:14:31:000719","1706555671719"
"17514","5","Numpad5","keyup","4","2024-01-29 16:14:31:000810","1706555671810"
"17515","Shift","ShiftLeft","keydown","5","2024-01-29 16:14:33:000242","1706555673242"
"17516","G","KeyG","keydown","5","2024-01-29 16:14:33:000450","1706555673450"
"17517","Shift","ShiftLeft","keyup","5","2024-01-29 16:14:33:000545","1706555673545"
"17518","g","KeyG","keyup","5","2024-01-29 16:14:33:000626","1706555673626"
"17519","a","KeyA","keydown","5","2024-01-29 16:14:33:000666","1706555673666"
"17520","b","KeyB","keydown","5","2024-01-29 16:14:33:000818","1706555673818"
"17521","a","KeyA","keyup","5","2024-01-29 16:14:33:000840","1706555673840"
"17522","r","KeyR","keydown","5","2024-01-29 16:14:33:000942","1706555673942"
"17523","b","KeyB","keyup","5","2024-01-29 16:14:34:000009","1706555674009"
"17524","r","KeyR","keyup","5","2024-01-29 16:14:34:000043","1706555674043"
"17525","i","KeyI","keydown","5","2024-01-29 16:14:34:000045","1706555674045"
"17526","i","KeyI","keyup","5","2024-01-29 16:14:34:000179","1706555674179"
"17527","e","KeyE","keydown","5","2024-01-29 16:14:34:000180","1706555674180"
"17528","l","KeyL","keydown","5","2024-01-29 16:14:34:000306","1706555674306"
"17529","e","KeyE","keyup","5","2024-01-29 16:14:34:000327","1706555674327"
"17530"," ","Space","keydown","5","2024-01-29 16:14:34:000397","1706555674397"
"17531","l","KeyL","keyup","5","2024-01-29 16:14:34:000450","1706555674450"
"17532","Shift","ShiftLeft","keydown","5","2024-01-29 16:14:34:000522","1706555674522"
"17533"," ","Space","keyup","5","2024-01-29 16:14:34:000618","1706555674618"
"17534","T","KeyT","keydown","5","2024-01-29 16:14:34:000762","1706555674762"
"17535","T","KeyT","keyup","5","2024-01-29 16:14:34:000900","1706555674900"
"17536"," ","Space","keydown","5","2024-01-29 16:14:34:000921","1706555674921"
"17537"," ","Space","keyup","5","2024-01-29 16:14:35:000066","1706555675066"
"17538","A","KeyA","keydown","5","2024-01-29 16:14:35:000162","1706555675162"
"17539","A","KeyA","keyup","5","2024-01-29 16:14:35:000362","1706555675362"
"17540","Shift","ShiftLeft","keyup","5","2024-01-29 16:14:35:000458","1706555675458"
"17541","l","KeyL","keydown","5","2024-01-29 16:14:35:000694","1706555675694"
"17542","l","KeyL","keyup","5","2024-01-29 16:14:35:000899","1706555675899"
"17543","m","KeyM","keydown","5","2024-01-29 16:14:35:000899","1706555675899"
"17544","m","KeyM","keyup","5","2024-01-29 16:14:36:000059","1706555676059"
"17545","e","KeyE","keydown","5","2024-01-29 16:14:36:000059","1706555676059"
"17546","e","KeyE","keyup","5","2024-01-29 16:14:36:000146","1706555676146"
"17547","i","KeyI","keydown","5","2024-01-29 16:14:36:000210","1706555676210"
"17548","i","KeyI","keyup","5","2024-01-29 16:14:36:000323","1706555676323"
"17549","d","KeyD","keydown","5","2024-01-29 16:14:36:000324","1706555676324"
"17550","a","KeyA","keydown","5","2024-01-29 16:14:36:000394","1706555676394"
"17551","d","KeyD","keyup","5","2024-01-29 16:14:36:000442","1706555676442"
"17552","2","Numpad2","keydown","1","2024-01-29 16:14:42:000691","1706555682691"
"17553","6","Numpad6","keydown","1","2024-01-29 16:14:42:000746","1706555682746"
"17554","2","Numpad2","keyup","1","2024-01-29 16:14:42:000818","1706555682818"
"17555","6","Numpad6","keyup","1","2024-01-29 16:14:42:000890","1706555682890"
