"id_beh","input_order","numbers","uppercase","naStartTs","naStartE","naFinishTs","naFinishE","cnStartTs","cnStartE","cnFinishTs","cnFinishE","scStartTs","scStartE","scFinishTs","scFinishE","mStartTs","mStartE","mFinishTs","mFinishE","yStartTs","yStartE","yFinishTs","yFinishE","StartTs","StartE","FinishTs","FinishE"
"59","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:43:57:000842","1704800637842","2024-01-09 08:44:03:000658","1704800643658","2024-01-09 08:43:37:000433","1704800617433","2024-01-09 08:43:49:000594","1704800629594","2024-01-09 08:43:54:000842","1704800634842","2024-01-09 08:43:57:000841","1704800637841","2024-01-09 08:43:49:000594","1704800629594","2024-01-09 08:43:51:000818","1704800631818","2024-01-09 08:43:51:000818","1704800631818","2024-01-09 08:43:54:000842","1704800634842","2024-01-09 08:43:37:000433","1704800617433","2024-01-09 08:44:03:000658","1704800643658"
"58","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:43:26:000058","1704800606058","2024-01-09 08:43:32:000706","1704800612706","2024-01-09 08:43:05:000834","1704800585834","2024-01-09 08:43:16:000673","1704800596673","2024-01-09 08:43:22:000978","1704800602978","2024-01-09 08:43:26:000058","1704800606058","2024-01-09 08:43:16:000673","1704800596673","2024-01-09 08:43:18:000923","1704800598923","2024-01-09 08:43:18:000924","1704800598924","2024-01-09 08:43:22:000978","1704800602978","2024-01-09 08:43:05:000834","1704800585834","2024-01-09 08:43:32:000706","1704800612706"
"57","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:42:08:000266","1704800528266","2024-01-09 08:42:14:000346","1704800534346","2024-01-09 08:41:48:000945","1704800508945","2024-01-09 08:41:59:000066","1704800519066","2024-01-09 08:42:05:000122","1704800525122","2024-01-09 08:42:08:000266","1704800528266","2024-01-09 08:41:59:000066","1704800519066","2024-01-09 08:42:01:000682","1704800521682","2024-01-09 08:42:01:000682","1704800521682","2024-01-09 08:42:05:000121","1704800525121","2024-01-09 08:41:48:000945","1704800508945","2024-01-09 08:42:14:000346","1704800534346"
"56","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:41:37:000819","1704800497819","2024-01-09 08:41:43:000410","1704800503410","2024-01-09 08:41:18:000402","1704800478402","2024-01-09 08:41:29:000346","1704800489346","2024-01-09 08:41:35:000266","1704800495266","2024-01-09 08:41:37:000819","1704800497819","2024-01-09 08:41:29:000346","1704800489346","2024-01-09 08:41:31:000697","1704800491697","2024-01-09 08:41:31:000697","1704800491697","2024-01-09 08:41:35:000266","1704800495266","2024-01-09 08:41:18:000402","1704800478402","2024-01-09 08:41:43:000410","1704800503410"
"55","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:40:59:000713","1704800459713","2024-01-09 08:41:05:000050","1704800465050","2024-01-09 08:40:37:000234","1704800437234","2024-01-09 08:40:51:000041","1704800451041","2024-01-09 08:40:56:000361","1704800456361","2024-01-09 08:40:59:000713","1704800459713","2024-01-09 08:40:51:000042","1704800451042","2024-01-09 08:40:53:000234","1704800453234","2024-01-09 08:40:53:000234","1704800453234","2024-01-09 08:40:56:000361","1704800456361","2024-01-09 08:40:37:000234","1704800437234","2024-01-09 08:41:05:000050","1704800465050"
"54","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:33:48:000650","1704800028650","2024-01-09 08:33:53:000666","1704800033666","2024-01-09 08:33:27:000994","1704800007994","2024-01-09 08:33:38:000547","1704800018547","2024-01-09 08:33:44:000922","1704800024922","2024-01-09 08:33:48:000650","1704800028650","2024-01-09 08:33:38:000547","1704800018547","2024-01-09 08:33:40:000889","1704800020889","2024-01-09 08:33:41:000258","1704800021258","2024-01-09 08:33:44:000922","1704800024922","2024-01-09 08:33:27:000994","1704800007994","2024-01-09 08:33:53:000666","1704800033666"
"76","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:54:18:000154","1704801258155","2024-01-09 08:54:24:000346","1704801264346","2024-01-09 08:53:58:000666","1704801238666","2024-01-09 08:54:08:000898","1704801248898","2024-01-09 08:54:15:000290","1704801255290","2024-01-09 08:54:18:000154","1704801258154","2024-01-09 08:54:08:000898","1704801248898","2024-01-09 08:54:11:000572","1704801251572","2024-01-09 08:54:11:000573","1704801251573","2024-01-09 08:54:15:000290","1704801255290","2024-01-09 08:53:58:000666","1704801238666","2024-01-09 08:54:24:000346","1704801264346"
"77","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:54:50:000331","1704801290331","2024-01-09 08:54:55:000794","1704801295794","2024-01-09 08:54:30:000474","1704801270474","2024-01-09 08:54:41:000715","1704801281715","2024-01-09 08:54:47:000531","1704801287531","2024-01-09 08:54:50:000330","1704801290330","2024-01-09 08:54:41:000715","1704801281715","2024-01-09 08:54:43:000858","1704801283858","2024-01-09 08:54:43:000858","1704801283858","2024-01-09 08:54:47:000530","1704801287530","2024-01-09 08:54:30:000474","1704801270474","2024-01-09 08:54:55:000794","1704801295794"
"78","1-2-3-4-5","Mixed","CapsLock","2024-01-09 08:55:53:000596","1704801353596","2024-01-09 08:55:59:000802","1704801359802","2024-01-09 08:55:35:000930","1704801335930","2024-01-09 08:55:45:000874","1704801345874","2024-01-09 08:55:51:000266","1704801351266","2024-01-09 08:55:53:000595","1704801353595","2024-01-09 08:55:45:000874","1704801345874","2024-01-09 08:55:47:000978","1704801347978","2024-01-09 08:55:47:000979","1704801347979","2024-01-09 08:55:51:000266","1704801351266","2024-01-09 08:55:35:000930","1704801335930","2024-01-09 08:55:59:000802","1704801359802"
"79","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:56:25:000410","1704801385410","2024-01-09 08:56:30:000819","1704801390819","2024-01-09 08:56:04:000466","1704801364466","2024-01-09 08:56:16:000906","1704801376906","2024-01-09 08:56:22:000563","1704801382563","2024-01-09 08:56:25:000410","1704801385410","2024-01-09 08:56:16:000906","1704801376906","2024-01-09 08:56:19:000330","1704801379330","2024-01-09 08:56:19:000330","1704801379330","2024-01-09 08:56:22:000562","1704801382562","2024-01-09 08:56:04:000466","1704801364466","2024-01-09 08:56:30:000819","1704801390819"
"80","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:56:55:000074","1704801415074","2024-01-09 08:57:02:000154","1704801422154","2024-01-09 08:56:35:000298","1704801395298","2024-01-09 08:56:46:000154","1704801406154","2024-01-09 08:56:52:000146","1704801412146","2024-01-09 08:56:55:000074","1704801415074","2024-01-09 08:56:46:000154","1704801406154","2024-01-09 08:56:48:000490","1704801408490","2024-01-09 08:56:48:000490","1704801408490","2024-01-09 08:56:52:000146","1704801412146","2024-01-09 08:56:35:000298","1704801395298","2024-01-09 08:57:02:000154","1704801422154"
"81","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:57:28:000474","1704801448474","2024-01-09 08:57:34:000506","1704801454506","2024-01-09 08:57:06:000938","1704801426938","2024-01-09 08:57:19:000178","1704801439178","2024-01-09 08:57:25:000458","1704801445458","2024-01-09 08:57:28:000474","1704801448474","2024-01-09 08:57:19:000178","1704801439178","2024-01-09 08:57:21:000834","1704801441834","2024-01-09 08:57:21:000834","1704801441834","2024-01-09 08:57:25:000458","1704801445458","2024-01-09 08:57:06:000938","1704801426938","2024-01-09 08:57:34:000506","1704801454506"
"82","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:57:58:000874","1704801478874","2024-01-09 08:58:04:000810","1704801484810","2024-01-09 08:57:39:000698","1704801459698","2024-01-09 08:57:49:000922","1704801469922","2024-01-09 08:57:56:000202","1704801476202","2024-01-09 08:57:58:000874","1704801478874","2024-01-09 08:57:49:000922","1704801469922","2024-01-09 08:57:52:000370","1704801472370","2024-01-09 08:57:52:000371","1704801472371","2024-01-09 08:57:56:000202","1704801476202","2024-01-09 08:57:39:000698","1704801459698","2024-01-09 08:58:04:000810","1704801484810"
"83","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:58:45:000262","1704801525262","2024-01-09 08:58:52:000037","1704801532037","2024-01-09 08:58:27:000019","1704801507019","2024-01-09 08:58:37:000438","1704801517438","2024-01-09 08:58:42:000757","1704801522757","2024-01-09 08:58:45:000262","1704801525262","2024-01-09 08:58:37:000438","1704801517438","2024-01-09 08:58:39:000653","1704801519653","2024-01-09 08:58:39:000654","1704801519654","2024-01-09 08:58:42:000757","1704801522757","2024-01-09 08:58:27:000019","1704801507019","2024-01-09 08:58:52:000037","1704801532037"
"84","1-2-3-4-5","Numpad","CapsLock","2024-01-09 12:22:54:000640","1704813774640","2024-01-09 12:23:06:000552","1704813786552","2024-01-09 12:22:32:000256","1704813752256","2024-01-09 12:22:44:000216","1704813764216","2024-01-09 12:22:51:000272","1704813771272","2024-01-09 12:22:54:000639","1704813774639","2024-01-09 12:22:44:000216","1704813764216","2024-01-09 12:22:47:000312","1704813767312","2024-01-09 12:22:47:000313","1704813767313","2024-01-09 12:22:51:000272","1704813771272","2024-01-09 12:22:32:000256","1704813752256","2024-01-09 12:23:06:000552","1704813786552"
"85","1-2-3-4-5","Mixed","Shift","2024-01-09 12:46:44:000714","1704815204714","2024-01-09 12:46:58:000465","1704815218465","2024-01-09 12:46:10:000728","1704815170728","2024-01-09 12:46:23:000666","1704815183666","2024-01-09 12:46:38:000810","1704815198810","2024-01-09 12:46:44:000714","1704815204714","2024-01-09 12:46:23:000666","1704815183666","2024-01-09 12:46:34:000009","1704815194009","2024-01-09 12:46:34:000010","1704815194010","2024-01-09 12:46:38:000809","1704815198809","2024-01-09 12:46:10:000728","1704815170728","2024-01-09 12:46:58:000465","1704815218465"
"86","1-2-3-4-5","Digit","CapsLock","2024-01-09 12:51:25:000885","1704815485885","2024-01-09 12:51:37:000540","1704815497540","2024-01-09 12:51:06:000027","1704815466027","2024-01-09 12:51:17:000268","1704815477268","2024-01-09 12:51:23:000037","1704815483037","2024-01-09 12:51:25:000884","1704815485884","2024-01-09 12:51:17:000269","1704815477269","2024-01-09 12:51:19:000700","1704815479700","2024-01-09 12:51:19:000701","1704815479701","2024-01-09 12:51:23:000036","1704815483036","2024-01-09 12:51:06:000027","1704815466027","2024-01-09 12:51:37:000540","1704815497540"
"87","1-2-3-4-5","Numpad","CapsLock","2024-01-09 13:41:12:000322","1704818472322","2024-01-09 13:41:20:000130","1704818480130","2024-01-09 13:40:49:000730","1704818449730","2024-01-09 13:41:02:000498","1704818462498","2024-01-09 13:41:08:000890","1704818468890","2024-01-09 13:41:12:000321","1704818472321","2024-01-09 13:41:02:000498","1704818462498","2024-01-09 13:41:05:000730","1704818465730","2024-01-09 13:41:05:000730","1704818465730","2024-01-09 13:41:08:000890","1704818468890","2024-01-09 13:40:49:000730","1704818449730","2024-01-09 13:41:20:000130","1704818480130"
"88","1-2-3-4-5","Mixed","None","2024-01-09 13:42:21:000235","1704818541235","2024-01-09 13:42:30:000626","1704818550626","2024-01-09 13:41:43:000282","1704818503282","2024-01-09 13:42:10:000227","1704818530227","2024-01-09 13:42:17:000243","1704818537243","2024-01-09 13:42:21:000235","1704818541235","2024-01-09 13:42:10:000228","1704818530228","2024-01-09 13:42:13:000691","1704818533691","2024-01-09 13:42:13:000691","1704818533691","2024-01-09 13:42:17:000243","1704818537243","2024-01-09 13:41:43:000282","1704818503282","2024-01-09 13:42:30:000626","1704818550626"
"89","1-2-3-4-5","Digit","CapsLock","2024-01-09 14:04:58:000099","1704819898099","2024-01-09 14:05:08:000754","1704819908754","2024-01-09 14:04:39:000369","1704819879369","2024-01-09 14:04:51:000227","1704819891227","2024-01-09 14:04:56:000148","1704819896148","2024-01-09 14:04:58:000099","1704819898099","2024-01-09 14:04:51:000228","1704819891228","2024-01-09 14:04:54:000131","1704819894131","2024-01-09 14:04:54:000131","1704819894131","2024-01-09 14:04:56:000147","1704819896147","2024-01-09 14:04:39:000369","1704819879369","2024-01-09 14:05:08:000754","1704819908754"
"90","1-2-3-4-5","Mixed","Shift","2024-01-09 14:07:45:000755","1704820065755","2024-01-09 14:07:58:000979","1704820078979","2024-01-09 14:07:15:000171","1704820035171","2024-01-09 14:07:31:000850","1704820051850","2024-01-09 14:07:41:000963","1704820061963","2024-01-09 14:07:45:000755","1704820065755","2024-01-09 14:07:31:000850","1704820051850","2024-01-09 14:07:35:000899","1704820055899","2024-01-09 14:07:38:000725","1704820058725","2024-01-09 14:07:41:000963","1704820061963","2024-01-09 14:07:15:000171","1704820035171","2024-01-09 14:07:58:000979","1704820078979"
"91","1-2-3-4-5","Numpad","CapsLock","2024-01-09 14:35:08:000876","1704821708876","2024-01-09 14:35:16:000003","1704821716003","2024-01-09 14:34:44:000619","1704821684619","2024-01-09 14:34:59:000366","1704821699366","2024-01-09 14:35:05:000723","1704821705723","2024-01-09 14:35:08:000876","1704821708876","2024-01-09 14:34:59:000366","1704821699366","2024-01-09 14:35:02:000515","1704821702515","2024-01-09 14:35:02:000515","1704821702515","2024-01-09 14:35:05:000723","1704821705723","2024-01-09 14:34:44:000619","1704821684619","2024-01-09 14:35:16:000003","1704821716003"
"92","1-2-3-4-5","Mixed","None","2024-01-09 14:36:04:000388","1704821764388","2024-01-09 14:36:14:000196","1704821774196","2024-01-09 14:35:34:000659","1704821734659","2024-01-09 14:35:47:000484","1704821747484","2024-01-09 14:35:59:000820","1704821759820","2024-01-09 14:36:04:000388","1704821764388","2024-01-09 14:35:47:000484","1704821747484","2024-01-09 14:35:54:000636","1704821754636","2024-01-09 14:35:54:000636","1704821754636","2024-01-09 14:35:59:000820","1704821759820","2024-01-09 14:35:34:000659","1704821734659","2024-01-09 14:36:14:000196","1704821774196"
"93","1-2-3-4-5","Mixed","CapsLock","2024-01-09 15:25:10:000548","1704824710548","2024-01-09 15:25:25:000288","1704824725288","2024-01-09 15:24:46:000396","1704824686396","2024-01-09 15:25:00:000262","1704824700262","2024-01-09 15:25:04:000710","1704824704710","2024-01-09 15:25:10:000548","1704824710548","2024-01-09 15:25:00:000262","1704824700262","2024-01-09 15:25:01:000845","1704824701845","2024-01-09 15:25:01:000846","1704824701846","2024-01-09 15:25:04:000709","1704824704709","2024-01-09 15:24:46:000396","1704824686396","2024-01-09 15:25:25:000288","1704824725288"
"94","1-2-3-4-5","Mixed","CapsLock","2024-01-09 16:04:00:000157","1704827040157","2024-01-09 16:04:11:000614","1704827051614","2024-01-09 16:03:39:000933","1704827019933","2024-01-09 16:03:51:000582","1704827031582","2024-01-09 16:03:55:000567","1704827035567","2024-01-09 16:04:00:000157","1704827040157","2024-01-09 16:03:51:000583","1704827031583","2024-01-09 16:03:53:000494","1704827033494","2024-01-09 16:03:53:000494","1704827033494","2024-01-09 16:03:55:000567","1704827035567","2024-01-09 16:03:39:000933","1704827019933","2024-01-09 16:04:11:000614","1704827051614"
"95","1-2-3-4-5","Mixed","None","2024-01-09 16:05:02:000119","1704827102119","2024-01-09 16:05:10:000823","1704827110823","2024-01-09 16:04:36:000606","1704827076606","2024-01-09 16:04:51:000511","1704827091511","2024-01-09 16:04:57:000783","1704827097783","2024-01-09 16:05:02:000119","1704827102119","2024-01-09 16:04:51:000511","1704827091511","2024-01-09 16:04:54:000216","1704827094216","2024-01-09 16:04:54:000216","1704827094216","2024-01-09 16:04:57:000782","1704827097782","2024-01-09 16:04:36:000606","1704827076606","2024-01-09 16:05:10:000823","1704827110823"
"96","1-2-3-4-5","Mixed","None","2024-01-09 16:05:41:000127","1704827141127","2024-01-09 16:05:52:000119","1704827152119","2024-01-09 16:05:18:000223","1704827118223","2024-01-09 16:05:32:000695","1704827132695","2024-01-09 16:05:38:000487","1704827138487","2024-01-09 16:05:41:000126","1704827141126","2024-01-09 16:05:32:000696","1704827132696","2024-01-09 16:05:35:000333","1704827135333","2024-01-09 16:05:35:000334","1704827135334","2024-01-09 16:05:38:000486","1704827138486","2024-01-09 16:05:18:000223","1704827118223","2024-01-09 16:05:52:000119","1704827152119"
"97","1-2-3-4-5","Mixed","None","2024-01-09 16:06:27:000855","1704827187855","2024-01-09 16:06:37:000631","1704827197631","2024-01-09 16:05:59:000142","1704827159142","2024-01-09 16:06:17:000030","1704827177030","2024-01-09 16:06:25:000303","1704827185303","2024-01-09 16:06:27:000855","1704827187855","2024-01-09 16:06:17:000030","1704827177030","2024-01-09 16:06:21:000863","1704827181863","2024-01-09 16:06:21:000863","1704827181863","2024-01-09 16:06:25:000303","1704827185303","2024-01-09 16:05:59:000142","1704827159142","2024-01-09 16:06:37:000631","1704827197631"
"98","1-2-3-4-5","Mixed","None","2024-01-09 16:07:07:000535","1704827227535","2024-01-09 16:07:14:000350","1704827234350","2024-01-09 16:06:45:000150","1704827205150","2024-01-09 16:06:58:000327","1704827218327","2024-01-09 16:07:04:000902","1704827224902","2024-01-09 16:07:07:000535","1704827227535","2024-01-09 16:06:58:000328","1704827218328","2024-01-09 16:07:02:000072","1704827222072","2024-01-09 16:07:02:000072","1704827222072","2024-01-09 16:07:04:000902","1704827224902","2024-01-09 16:06:45:000150","1704827205150","2024-01-09 16:07:14:000350","1704827234350"
"99","1-2-3-4-5","Mixed","None","2024-01-09 16:07:48:000151","1704827268151","2024-01-09 16:07:55:000302","1704827275302","2024-01-09 16:07:23:000558","1704827243558","2024-01-09 16:07:38:000279","1704827258279","2024-01-09 16:07:44:000824","1704827264824","2024-01-09 16:07:48:000151","1704827268151","2024-01-09 16:07:38:000279","1704827258279","2024-01-09 16:07:40:000519","1704827260519","2024-01-09 16:07:40:000520","1704827260520","2024-01-09 16:07:44:000823","1704827264823","2024-01-09 16:07:23:000558","1704827243558","2024-01-09 16:07:55:000302","1704827275302"
"100","1-2-3-4-5","Mixed","CapsLock","2024-01-22 13:39:20:000389","1705941560389","2024-01-22 13:39:28:000595","1705941568595","2024-01-22 13:38:50:000126","1705941530126","2024-01-22 13:39:06:000454","1705941546454","2024-01-22 13:39:14:000294","1705941554294","2024-01-22 13:39:20:000389","1705941560389","2024-01-22 13:39:06:000455","1705941546455","2024-01-22 13:39:08:000989","1705941548989","2024-01-22 13:39:08:000990","1705941548990","2024-01-22 13:39:14:000293","1705941554293","2024-01-22 13:38:50:000126","1705941530126","2024-01-22 13:39:28:000595","1705941568595"
"101","1-2-3-4-5","Digit","CapsLock","2024-01-22 13:42:41:000894","1705941761894","2024-01-22 13:42:58:000324","1705941778324","2024-01-22 13:42:11:000947","1705941731947","2024-01-22 13:42:30:000926","1705941750926","2024-01-22 13:42:37:000492","1705941757492","2024-01-22 13:42:41:000894","1705941761894","2024-01-22 13:42:30:000926","1705941750926","2024-01-22 13:42:33:000701","1705941753701","2024-01-22 13:42:33:000701","1705941753701","2024-01-22 13:42:37:000492","1705941757492","2024-01-22 13:42:11:000947","1705941731947","2024-01-22 13:42:58:000324","1705941778324"
"102","1-2-3-4-5","Numpad","CapsLock","2024-01-22 15:12:07:000301","1705947127301","2024-01-22 15:12:17:000694","1705947137694","2024-01-22 15:11:42:000157","1705947102157","2024-01-22 15:11:56:000262","1705947116262","2024-01-22 15:12:03:000766","1705947123766","2024-01-22 15:12:07:000301","1705947127301","2024-01-22 15:11:56:000262","1705947116262","2024-01-22 15:11:59:000301","1705947119301","2024-01-22 15:11:59:000301","1705947119301","2024-01-22 15:12:03:000766","1705947123766","2024-01-22 15:11:42:000157","1705947102157","2024-01-22 15:12:17:000694","1705947137694"
"103","1-2-3-4-5","Numpad","None","2024-01-22 15:13:03:000590","1705947183590","2024-01-22 15:13:11:000020","1705947191020","2024-01-22 15:12:38:000845","1705947158845","2024-01-22 15:12:51:000957","1705947171957","2024-01-22 15:12:59:000612","1705947179612","2024-01-22 15:13:03:000589","1705947183589","2024-01-22 15:12:51:000957","1705947171957","2024-01-22 15:12:54:000917","1705947174917","2024-01-22 15:12:54:000918","1705947174918","2024-01-22 15:12:59:000612","1705947179612","2024-01-22 15:12:38:000845","1705947158845","2024-01-22 15:13:11:000020","1705947191020"
"104","1-2-3-4-5","Numpad","None","2024-01-22 15:13:47:000101","1705947227101","2024-01-22 15:13:54:000077","1705947234077","2024-01-22 15:13:19:000389","1705947199389","2024-01-22 15:13:36:000629","1705947216629","2024-01-22 15:13:42:000695","1705947222695","2024-01-22 15:13:47:000100","1705947227100","2024-01-22 15:13:36:000629","1705947216629","2024-01-22 15:13:39:000213","1705947219213","2024-01-22 15:13:39:000214","1705947219214","2024-01-22 15:13:42:000694","1705947222694","2024-01-22 15:13:19:000389","1705947199389","2024-01-22 15:13:54:000077","1705947234077"
"105","1-2-3-4-5","Numpad","None","2024-01-22 15:14:49:000336","1705947289336","2024-01-22 15:14:56:000686","1705947296686","2024-01-22 15:14:25:000357","1705947265357","2024-01-22 15:14:39:000624","1705947279624","2024-01-22 15:14:46:000233","1705947286233","2024-01-22 15:14:49:000336","1705947289336","2024-01-22 15:14:39:000624","1705947279624","2024-01-22 15:14:42:000488","1705947282488","2024-01-22 15:14:42:000488","1705947282488","2024-01-22 15:14:46:000232","1705947286232","2024-01-22 15:14:25:000357","1705947265357","2024-01-22 15:14:56:000686","1705947296686"
"106","1-2-3-4-5","Numpad","None","2024-01-22 15:15:29:000881","1705947329881","2024-01-22 15:15:36:000700","1705947336700","2024-01-22 15:15:04:000800","1705947304800","2024-01-22 15:15:18:000344","1705947318344","2024-01-22 15:15:25:000336","1705947325336","2024-01-22 15:15:29:000880","1705947329880","2024-01-22 15:15:18:000344","1705947318344","2024-01-22 15:15:21:000312","1705947321312","2024-01-22 15:15:21:000312","1705947321313","2024-01-22 15:15:25:000336","1705947325336","2024-01-22 15:15:04:000800","1705947304800","2024-01-22 15:15:36:000700","1705947336700"
"107","1-2-3-4-5","Numpad","None","2024-01-22 15:16:08:000894","1705947368894","2024-01-22 15:16:18:000644","1705947378644","2024-01-22 15:15:42:000621","1705947342621","2024-01-22 15:15:56:000661","1705947356661","2024-01-22 15:16:04:000565","1705947364565","2024-01-22 15:16:08:000893","1705947368893","2024-01-22 15:15:56:000662","1705947356662","2024-01-22 15:16:00:000389","1705947360389","2024-01-22 15:16:00:000389","1705947360389","2024-01-22 15:16:04:000565","1705947364565","2024-01-22 15:15:42:000621","1705947342621","2024-01-22 15:16:18:000644","1705947378644"
"108","1-2-3-4-5","Mixed","Shift","2024-01-22 16:01:30:000373","1705950090373","2024-01-22 16:01:35:000173","1705950095173","2024-01-22 16:01:11:000397","1705950071397","2024-01-22 16:01:21:000204","1705950081204","2024-01-22 16:01:28:000509","1705950088509","2024-01-22 16:01:30:000373","1705950090373","2024-01-22 16:01:21:000204","1705950081204","2024-01-22 16:01:23:000501","1705950083501","2024-01-22 16:01:23:000501","1705950083501","2024-01-22 16:01:28:000508","1705950088508","2024-01-22 16:01:11:000397","1705950071397","2024-01-22 16:01:35:000173","1705950095173"
"109","1-2-3-4-5","Numpad","Shift","2024-01-22 16:01:58:000644","1705950118644","2024-01-22 16:02:02:000595","1705950122595","2024-01-22 16:01:43:000014","1705950103014","2024-01-22 16:01:51:000709","1705950111709","2024-01-22 16:01:56:000579","1705950116579","2024-01-22 16:01:58:000644","1705950118644","2024-01-22 16:01:51:000710","1705950111710","2024-01-22 16:01:53:000910","1705950113910","2024-01-22 16:01:53:000910","1705950113910","2024-01-22 16:01:56:000579","1705950116579","2024-01-22 16:01:43:000014","1705950103014","2024-01-22 16:02:02:000595","1705950122595"
"110","1-2-3-4-5","Numpad","Shift","2024-01-22 16:02:22:000067","1705950142067","2024-01-22 16:02:26:000475","1705950146475","2024-01-22 16:02:08:000283","1705950128283","2024-01-22 16:02:14:000612","1705950134612","2024-01-22 16:02:19:000236","1705950139236","2024-01-22 16:02:22:000067","1705950142067","2024-01-22 16:02:14:000612","1705950134612","2024-01-22 16:02:16:000848","1705950136848","2024-01-22 16:02:16:000848","1705950136848","2024-01-22 16:02:19:000235","1705950139235","2024-01-22 16:02:08:000283","1705950128283","2024-01-22 16:02:26:000475","1705950146475"
"111","1-2-3-4-5","Numpad","Shift","2024-01-22 16:02:50:000996","1705950170996","2024-01-22 16:02:54:000813","1705950174813","2024-01-22 16:02:34:000954","1705950154954","2024-01-22 16:02:43:000227","1705950163227","2024-01-22 16:02:48:000955","1705950168955","2024-01-22 16:02:50:000995","1705950170995","2024-01-22 16:02:43:000228","1705950163228","2024-01-22 16:02:45:000644","1705950165644","2024-01-22 16:02:45:000644","1705950165644","2024-01-22 16:02:48:000955","1705950168955","2024-01-22 16:02:34:000954","1705950154954","2024-01-22 16:02:54:000813","1705950174813"
"112","1-2-3-4-5","Mixed","Shift","2024-01-22 16:03:14:000654","1705950194654","2024-01-22 16:03:20:000496","1705950200496","2024-01-22 16:03:00:000531","1705950180531","2024-01-22 16:03:09:000107","1705950189107","2024-01-22 16:03:12:000906","1705950192906","2024-01-22 16:03:14:000654","1705950194654","2024-01-22 16:03:09:000107","1705950189107","2024-01-22 16:03:11:000053","1705950191053","2024-01-22 16:03:11:000054","1705950191054","2024-01-22 16:03:12:000905","1705950192905","2024-01-22 16:03:00:000531","1705950180531","2024-01-22 16:03:20:000496","1705950200496"
"113","1-2-3-4-5","Numpad","Shift","2024-01-22 16:03:40:000432","1705950220432","2024-01-22 16:03:44:000862","1705950224862","2024-01-22 16:03:24:000687","1705950204688","2024-01-22 16:03:32:000383","1705950212383","2024-01-22 16:03:37:000056","1705950217056","2024-01-22 16:03:39:000191","1705950219191","2024-01-22 16:03:32:000384","1705950212384","2024-01-22 16:03:34:000456","1705950214456","2024-01-22 16:03:34:000456","1705950214456","2024-01-22 16:03:37:000055","1705950217055","2024-01-22 16:03:24:000688","1705950204688","2024-01-22 16:03:44:000862","1705950224862"
"114","1-2-3-4-5","Numpad","Shift","2024-01-22 16:04:27:000733","1705950267733","2024-01-22 16:04:31:000380","1705950271380","2024-01-22 16:04:13:000229","1705950253229","2024-01-22 16:04:21:000523","1705950261523","2024-01-22 16:04:25:000693","1705950265693","2024-01-22 16:04:27:000732","1705950267732","2024-01-22 16:04:21:000523","1705950261523","2024-01-22 16:04:23:000485","1705950263485","2024-01-22 16:04:23:000485","1705950263486","2024-01-22 16:04:25:000693","1705950265693","2024-01-22 16:04:13:000229","1705950253229","2024-01-22 16:04:31:000380","1705950271380"
"115","1-2-3-4-5","Numpad","Shift","2024-01-22 16:04:47:000772","1705950287772","2024-01-22 16:04:52:000197","1705950292197","2024-01-22 16:04:35:000156","1705950275156","2024-01-22 16:04:41:000406","1705950281406","2024-01-22 16:04:45:000818","1705950285818","2024-01-22 16:04:47:000771","1705950287772","2024-01-22 16:04:41:000407","1705950281407","2024-01-22 16:04:43:000245","1705950283245","2024-01-22 16:04:43:000246","1705950283246","2024-01-22 16:04:45:000818","1705950285818","2024-01-22 16:04:35:000156","1705950275156","2024-01-22 16:04:52:000197","1705950292197"
"116","1-2-3-4-5","Numpad","Shift","2024-01-22 16:05:08:000653","1705950308653","2024-01-22 16:05:13:000086","1705950313086","2024-01-22 16:04:55:000596","1705950295596","2024-01-22 16:05:02:000013","1705950302013","2024-01-22 16:05:06:000445","1705950306445","2024-01-22 16:05:08:000653","1705950308653","2024-01-22 16:05:02:000013","1705950302013","2024-01-22 16:05:03:000693","1705950303693","2024-01-22 16:05:03:000693","1705950303693","2024-01-22 16:05:06:000445","1705950306445","2024-01-22 16:04:55:000596","1705950295596","2024-01-22 16:05:13:000086","1705950313086"
"117","1-2-3-4-5","Numpad","Shift","2024-01-22 16:05:36:000830","1705950336830","2024-01-22 16:05:41:000562","1705950341562","2024-01-22 16:05:18:000533","1705950318533","2024-01-22 16:05:30:000020","1705950330020","2024-01-22 16:05:34:000652","1705950334652","2024-01-22 16:05:36:000829","1705950336829","2024-01-22 16:05:30:000388","1705950330388","2024-01-22 16:05:31:000928","1705950331928","2024-01-22 16:05:31:000928","1705950331928","2024-01-22 16:05:34:000652","1705950334652","2024-01-22 16:05:18:000533","1705950318533","2024-01-22 16:05:41:000562","1705950341562"
