"id_beh","input_order","numbers","uppercase","naStartTs","naStartE","naFinishTs","naFinishE","cnStartTs","cnStartE","cnFinishTs","cnFinishE","scStartTs","scStartE","scFinishTs","scFinishE","mStartTs","mStartE","mFinishTs","mFinishE","yStartTs","yStartE","yFinishTs","yFinishE","StartTs","StartE","FinishTs","FinishE"
"11","1-2-3-4-5","Numpad","CapsLock","2023-12-24 11:51:19:000288","1703429479288","2023-12-24 11:51:29:000134","1703429489134","2023-12-24 11:50:58:000299","1703429458299","2023-12-24 11:51:10:000635","1703429470635","2023-12-24 11:51:15:000878","1703429475878","2023-12-24 11:51:19:000287","1703429479287","2023-12-24 11:51:10:000635","1703429470635","2023-12-24 11:51:12:000968","1703429472968","2023-12-24 11:51:12:000969","1703429472969","2023-12-24 11:51:15:000877","1703429475877","2023-12-24 11:50:58:000299","1703429458299","2023-12-24 11:51:29:000134","1703429489134"
"12","1-2-3-4-5","Numpad","CapsLock","2023-12-24 13:58:28:000990","1703437108990","2023-12-24 13:58:37:000218","1703437117218","2023-12-24 13:58:05:000907","1703437085907","2023-12-24 13:58:18:000890","1703437098890","2023-12-24 13:58:25:000128","1703437105128","2023-12-24 13:58:28:000990","1703437108990","2023-12-24 13:58:18:000891","1703437098891","2023-12-24 13:58:21:000319","1703437101319","2023-12-24 13:58:21:000319","1703437101319","2023-12-24 13:58:25:000127","1703437105127","2023-12-24 13:58:05:000907","1703437085907","2023-12-24 13:58:37:000218","1703437117218"
"13","1-2-3-4-5","Numpad","CapsLock","2023-12-24 14:37:48:000501","1703439468501","2023-12-24 14:37:58:000773","1703439478773","2023-12-24 14:37:27:000496","1703439447496","2023-12-24 14:37:39:000214","1703439459214","2023-12-24 14:37:45:000056","1703439465056","2023-12-24 14:37:48:000500","1703439468500","2023-12-24 14:37:39:000214","1703439459214","2023-12-24 14:37:41:000450","1703439461450","2023-12-24 14:37:41:000451","1703439461451","2023-12-24 14:37:45:000055","1703439465055","2023-12-24 14:37:27:000496","1703439447496","2023-12-24 14:37:58:000773","1703439478773"
"14","1-2-3-4-5","Numpad","CapsLock","2023-12-24 15:59:30:000497","1703444370497","2023-12-24 15:59:38:000012","1703444378012","2023-12-24 15:59:04:000900","1703444344900","2023-12-24 15:59:19:000793","1703444359793","2023-12-24 15:59:26:000446","1703444366446","2023-12-24 15:59:30:000497","1703444370497","2023-12-24 15:59:19:000793","1703444359793","2023-12-24 15:59:22:000514","1703444362514","2023-12-24 15:59:22:000514","1703444362514","2023-12-24 15:59:26:000445","1703444366445","2023-12-24 15:59:04:000900","1703444344900","2023-12-24 15:59:38:000012","1703444378012"
"15","1-2-3-4-5","Mixed","CapsLock","2023-12-24 19:20:24:000279","1703456424279","2023-12-24 19:20:31:000087","1703456431087","2023-12-24 19:20:00:000368","1703456400368","2023-12-24 19:20:12:000555","1703456412555","2023-12-24 19:20:19:000152","1703456419152","2023-12-24 19:20:24:000279","1703456424279","2023-12-24 19:20:12:000555","1703456412555","2023-12-24 19:20:15:000303","1703456415303","2023-12-24 19:20:15:000304","1703456415304","2023-12-24 19:20:19:000152","1703456419152","2023-12-24 19:20:00:000368","1703456400368","2023-12-24 19:20:31:000087","1703456431087"
"16","1-2-3-4-5","Numpad","CapsLock","2023-12-25 10:09:20:000514","1703509760514","2023-12-25 10:09:28:000147","1703509768147","2023-12-25 10:08:57:000797","1703509737797","2023-12-25 10:09:10:000170","1703509750170","2023-12-25 10:09:16:000257","1703509756257","2023-12-25 10:09:19:000756","1703509759756","2023-12-25 10:09:10:000170","1703509750170","2023-12-25 10:09:12:000950","1703509752950","2023-12-25 10:09:12:000951","1703509752951","2023-12-25 10:09:16:000257","1703509756257","2023-12-25 10:08:57:000797","1703509737797","2023-12-25 10:09:28:000147","1703509768147"
"17","1-2-3-4-5","Mixed","CapsLock","2023-12-25 11:07:01:000989","1703513221989","2023-12-25 11:07:10:000861","1703513230861","2023-12-25 11:06:37:000246","1703513197246","2023-12-25 11:06:50:000550","1703513210550","2023-12-25 11:06:58:000865","1703513218865","2023-12-25 11:07:01:000989","1703513221989","2023-12-25 11:06:50:000551","1703513210551","2023-12-25 11:06:55:000122","1703513215122","2023-12-25 11:06:55:000122","1703513215122","2023-12-25 11:06:58:000865","1703513218865","2023-12-25 11:06:37:000246","1703513197246","2023-12-25 11:07:10:000861","1703513230861"
"18","1-2-3-4-5","Numpad","CapsLock","2023-12-25 15:28:37:000366","1703528917366","2023-12-25 15:28:44:000707","1703528924707","2023-12-25 15:28:15:000856","1703528895856","2023-12-25 15:28:28:000730","1703528908730","2023-12-25 15:28:34:000471","1703528914471","2023-12-25 15:28:37:000365","1703528917365","2023-12-25 15:28:28:000730","1703528908730","2023-12-25 15:28:31:000263","1703528911263","2023-12-25 15:28:31:000263","1703528911263","2023-12-25 15:28:34:000471","1703528914471","2023-12-25 15:28:15:000856","1703528895856","2023-12-25 15:28:44:000707","1703528924707"
"19","1-2-3-4-5","Mixed","CapsLock","2023-12-25 17:07:02:000090","1703534822090","2023-12-25 17:07:15:000638","1703534835638","2023-12-25 17:06:36:000825","1703534796825","2023-12-25 17:06:51:000771","1703534811771","2023-12-25 17:06:58:000464","1703534818464","2023-12-25 17:07:02:000090","1703534822090","2023-12-25 17:06:51:000772","1703534811772","2023-12-25 17:06:54:000845","1703534814845","2023-12-25 17:06:54:000845","1703534814845","2023-12-25 17:06:58:000464","1703534818464","2023-12-25 17:06:36:000825","1703534796825","2023-12-25 17:07:15:000638","1703534835638"
"20","1-2-3-4-5","Numpad","CapsLock","2023-12-25 18:47:36:000283","1703540856283","2023-12-25 18:47:44:000423","1703540864423","2023-12-25 18:47:12:000789","1703540832789","2023-12-25 18:47:25:000719","1703540845719","2023-12-25 18:47:33:000131","1703540853131","2023-12-25 18:47:36:000283","1703540856283","2023-12-25 18:47:25:000719","1703540845719","2023-12-25 18:47:29:000889","1703540849889","2023-12-25 18:47:29:000889","1703540849889","2023-12-25 18:47:33:000131","1703540853131","2023-12-25 18:47:12:000789","1703540832789","2023-12-25 18:47:44:000423","1703540864423"
